class,score,model_name
golf putting,0.0008958707420545879,movineta0
stretching leg,0.000575781695780458,movineta0
presenting weather forecast,0.0005181604512777739,movineta0
stretching arm,0.00043472671468329103,movineta0
shooting goal (soccer),0.0003762632562743774,movineta0
golf chipping,0.0003750589799987369,movineta0
using a paint roller,0.0003670722363090684,movineta0
archery,0.00036553197083049926,movineta0
cleaning windows,0.0003594250827868312,movineta0
headbutting,0.00029043592561351896,movineta0
hurling (sport),0.0002281333948269598,movineta0
swinging baseball bat,0.00022106709813632752,movineta0
news anchoring,0.0002203202650009739,movineta0
shaking hands,0.00021991027002807005,movineta0
pirouetting,0.0002191641828241355,movineta0


