class,score,model_name
waving hand,0.0005098556487483622,movineta2
finger snapping,0.0005042627432627803,movineta2
stretching arm,0.0003659085300160968,movineta2
yoga,0.0002942930611533325,movineta2
twiddling fingers,0.0002904624434458042,movineta2
tiptoeing,0.0002887127381121758,movineta2
snowkiting,0.0002248600165921153,movineta2
hugging (not baby),0.00022247611300149633,movineta2
shaking hands,0.00022089821639987905,movineta2
sled dog racing,0.00022060226123767735,movineta2
singing,0.00021680517644284697,movineta2
cosplaying,0.00021634971246693979,movineta2
laughing,0.0002163286645042728,movineta2
whistling,0.00021599137216052653,movineta2
slapping,0.00021542406487459444,movineta2


