class,score,model_name
shaking hands,0.0006542764122253088,movineta4
shucking oysters,0.00037654320162117745,movineta4
finger snapping,0.0003656906217703619,movineta4
smashing,0.0003611547656174677,movineta4
archery,0.00029701396522880394,movineta4
sharpening pencil,0.0002909690542435123,movineta4
singing,0.0002900440395323187,movineta4
rock scissors paper,0.00028903755169696016,movineta4
golf driving,0.00023039080402147518,movineta4
swinging baseball bat,0.00022407826262023427,movineta4
throwing ball (not baseball or American football),0.00021745088206922417,movineta4
tai chi,0.00021730425324184381,movineta4
air drumming,0.00021693490880027465,movineta4
pouring beer,0.000151174673345214,movineta4
rolling pastry,0.00014880792241891974,movineta4


