class,score,model_name
spray painting,0.0008331890910166234,movineta3
golf putting,0.0006931724419510566,movineta3
cleaning windows,0.000603045638296048,movineta3
golf chipping,0.0004548230141052624,movineta3
finger snapping,0.0004457392264099717,movineta3
shining flashlight,0.0003789360441944939,movineta3
mowing lawn,0.0003782689463848449,movineta3
playing cricket,0.0003715068646722014,movineta3
trimming shrubs,0.0003149587703859812,movineta3
cleaning pool,0.0003024706731809994,movineta3
shaking hands,0.0002891975756920209,movineta3
using a paint roller,0.00022888036621715238,movineta3
ski jumping,0.00022425852732578056,movineta3
archery,0.00022299243817975177,movineta3
mopping floor,0.00022002837447863594,movineta3


